Initialization Method,Accuracy,Iterations,Time
MacQueen,96.61,8,0.10306501388549805
MacQueen,96.61,8,0.1450498104095459
MacQueen,96.61,8,0.09377408027648926
MacQueen,96.61,8,0.0931711196899414
MacQueen,96.61,8,0.09277176856994629
MacQueen,96.61,8,0.09186291694641113
MacQueen,96.61,8,0.09508466720581055
MacQueen,96.61,8,0.09358620643615723
MacQueen,96.61,8,0.09315180778503418
MacQueen,96.61,8,0.09653306007385254
MacQueen,96.61,8,0.09168529510498047
MacQueen,96.61,8,0.09303593635559082
MacQueen,96.61,8,0.09289693832397461
MacQueen,96.61,8,0.09116005897521973
MacQueen,96.61,8,0.09137582778930664
MacQueen,96.61,8,0.09111714363098145
MacQueen,96.61,8,0.10539007186889648
MacQueen,96.61,8,0.09179377555847168
MacQueen,96.61,8,0.09133291244506836
MacQueen,96.61,8,0.09682989120483398
MacQueen,96.61,8,0.09296703338623047
MacQueen,96.61,8,0.09795308113098145
MacQueen,96.61,8,0.09174180030822754
MacQueen,96.61,8,0.09284090995788574
MacQueen,96.61,8,0.09504413604736328
MacQueen,96.61,8,0.09477710723876953
MacQueen,96.61,8,0.09187769889831543
MacQueen,96.61,8,0.09299302101135254
MacQueen,96.61,8,0.09556388854980469
MacQueen,96.61,8,0.09162783622741699
MacQueen,96.61,8,0.09051918983459473
MacQueen,96.61,8,0.09325814247131348
MacQueen,96.61,8,0.09739303588867188
MacQueen,96.61,8,0.09054684638977051
MacQueen,96.61,8,0.09371280670166016
MacQueen,96.61,8,0.0920870304107666
MacQueen,96.61,8,0.09419012069702148
MacQueen,96.61,8,0.09164690971374512
MacQueen,96.61,8,0.09325814247131348
MacQueen,96.61,8,0.09145689010620117
MacQueen,96.61,8,0.10036301612854004
MacQueen,96.61,8,0.0950169563293457
MacQueen,96.61,8,0.0933079719543457
MacQueen,96.61,8,0.09227991104125977
MacQueen,96.61,8,0.09193301200866699
MacQueen,96.61,8,0.09251618385314941
MacQueen,96.61,8,0.09060287475585938
MacQueen,96.61,8,0.09179306030273438
MacQueen,96.61,8,0.09284114837646484
MacQueen,96.61,8,0.09153294563293457
MacQueen,96.61,8,0.09172511100769043
MacQueen,96.61,8,0.09175705909729004
MacQueen,96.61,8,0.09233975410461426
MacQueen,96.61,8,0.09705114364624023
MacQueen,96.61,8,0.09188699722290039
MacQueen,96.61,8,0.0907893180847168
MacQueen,96.61,8,0.09263920783996582
MacQueen,96.61,8,0.09637784957885742
MacQueen,96.61,8,0.09836888313293457
MacQueen,96.61,8,0.09298014640808105
MacQueen,96.61,8,0.09111976623535156
MacQueen,96.61,8,0.0969400405883789
MacQueen,96.61,8,0.09999895095825195
MacQueen,96.61,8,0.09739089012145996
MacQueen,96.61,8,0.09231305122375488
MacQueen,96.61,8,0.11654090881347656
MacQueen,96.61,8,0.11291217803955078
MacQueen,96.61,8,0.10470795631408691
MacQueen,96.61,8,0.09184503555297852
MacQueen,96.61,8,0.1093440055847168
MacQueen,96.61,8,0.10297179222106934
MacQueen,96.61,8,0.12841320037841797
MacQueen,96.61,8,0.11626291275024414
MacQueen,96.61,8,0.10063481330871582
MacQueen,96.61,8,0.09871602058410645
MacQueen,96.61,8,0.09650897979736328
MacQueen,96.61,8,0.16615033149719238
MacQueen,96.61,8,0.09783196449279785
MacQueen,96.61,8,0.09133124351501465
MacQueen,96.61,8,0.09436821937561035
MacQueen,96.61,8,0.13354277610778809
MacQueen,96.61,8,0.0975339412689209
MacQueen,96.61,8,0.08961796760559082
MacQueen,96.61,8,0.0901939868927002
MacQueen,96.61,8,0.09433913230895996
MacQueen,96.61,8,0.09218597412109375
MacQueen,96.61,8,0.09076213836669922
MacQueen,96.61,8,0.08789992332458496
MacQueen,96.61,8,0.08934688568115234
MacQueen,96.61,8,0.0883488655090332
MacQueen,96.61,8,0.08754205703735352
MacQueen,96.61,8,0.09697699546813965
MacQueen,96.61,8,0.09172487258911133
MacQueen,96.61,8,0.12262701988220215
MacQueen,96.61,8,0.09673905372619629
MacQueen,96.61,8,0.11411023139953613
MacQueen,96.61,8,0.1078329086303711
MacQueen,96.61,8,0.10932612419128418
MacQueen,96.61,8,0.10377383232116699
MacQueen,96.61,8,0.09529399871826172
Forgy,94.92,7,0.08741879463195801
Forgy,96.61,8,0.10030484199523926
Forgy,97.18,6,0.07545804977416992
Forgy,96.05,5,0.06151604652404785
Forgy,94.92,6,0.07872891426086426
Forgy,96.61,5,0.06276106834411621
Forgy,96.61,8,0.09538698196411133
Forgy,95.48,5,0.07577896118164062
Forgy,96.05,7,0.08633780479431152
Forgy,96.61,8,0.0977630615234375
Forgy,96.61,9,0.10525107383728027
Forgy,96.61,6,0.07162117958068848
Forgy,94.92,15,0.1719679832458496
Forgy,96.61,11,0.12867021560668945
Forgy,97.18,12,0.13962793350219727
Forgy,97.18,7,0.08489418029785156
Forgy,96.05,6,0.07840585708618164
Forgy,94.92,10,0.12012219429016113
Forgy,94.92,7,0.08589410781860352
Forgy,96.61,12,0.14613127708435059
Forgy,97.18,11,0.13307905197143555
Forgy,96.05,4,0.04723024368286133
Forgy,63.28,5,0.05759739875793457
Forgy,96.61,7,0.09766697883605957
Forgy,94.92,5,0.05945706367492676
Forgy,95.48,4,0.04962897300720215
Forgy,97.18,11,0.13678312301635742
Forgy,96.61,7,0.08202695846557617
Forgy,94.92,12,0.13651609420776367
Forgy,96.61,7,0.09134507179260254
Forgy,97.18,7,0.08046793937683105
Forgy,94.92,5,0.05750417709350586
Forgy,94.92,10,0.1207890510559082
Forgy,96.61,5,0.08403706550598145
Forgy,63.28,5,0.06427693367004395
Forgy,95.48,8,0.09393620491027832
Forgy,96.61,7,0.07859110832214355
Forgy,96.61,4,0.05219292640686035
Forgy,96.61,6,0.07076716423034668
Forgy,94.92,4,0.047708988189697266
Forgy,97.18,8,0.09334087371826172
Forgy,97.18,5,0.07596588134765625
Forgy,97.18,12,0.14322996139526367
Forgy,96.05,6,0.07558608055114746
Forgy,96.05,8,0.09372997283935547
Forgy,94.92,9,0.1090848445892334
Forgy,94.92,6,0.06695389747619629
Forgy,96.61,7,0.0830080509185791
Forgy,94.92,8,0.12747526168823242
Forgy,94.92,8,0.1005251407623291
Forgy,62.15,4,0.04492902755737305
Forgy,97.18,6,0.0684199333190918
Forgy,96.05,5,0.06917214393615723
Forgy,96.05,5,0.059557199478149414
Forgy,95.48,7,0.08645105361938477
Forgy,94.92,7,0.08703494071960449
Forgy,96.61,5,0.062075138092041016
Forgy,97.18,8,0.09510207176208496
Forgy,95.48,5,0.06276202201843262
Forgy,97.18,6,0.07594990730285645
Forgy,96.61,9,0.09888815879821777
Forgy,96.61,4,0.05281400680541992
Forgy,96.61,8,0.09182214736938477
Forgy,96.61,9,0.10840916633605957
Forgy,96.61,8,0.0901639461517334
Forgy,96.61,6,0.07802271842956543
Forgy,59.89,12,0.1410970687866211
Forgy,96.61,5,0.06741881370544434
Forgy,96.61,7,0.08136987686157227
Forgy,62.71,8,0.09723925590515137
Forgy,94.92,10,0.11099815368652344
Forgy,97.18,5,0.05624890327453613
Forgy,94.92,16,0.1820998191833496
Forgy,96.61,9,0.12660884857177734
Forgy,97.18,10,0.12452197074890137
Forgy,94.92,5,0.06545019149780273
Forgy,94.92,10,0.13624811172485352
Forgy,94.92,11,0.1408231258392334
Forgy,96.05,6,0.07421684265136719
Forgy,96.61,5,0.06827688217163086
Forgy,97.18,4,0.05277204513549805
Forgy,96.61,9,0.12749528884887695
Forgy,95.48,10,0.12388420104980469
Forgy,94.92,6,0.07650208473205566
Forgy,97.18,10,0.12529993057250977
Forgy,96.05,5,0.06840705871582031
Forgy,97.18,11,0.14345598220825195
Forgy,96.61,11,0.17639613151550293
Forgy,97.18,6,0.07680511474609375
Forgy,95.48,12,0.13817095756530762
Forgy,96.05,6,0.06626319885253906
Forgy,97.18,10,0.11015987396240234
Forgy,96.61,7,0.07707595825195312
Forgy,95.48,7,0.08049583435058594
Forgy,96.61,6,0.07790589332580566
Forgy,94.92,6,0.07776522636413574
Forgy,97.18,7,0.08003520965576172
Forgy,97.18,9,0.0996849536895752
Forgy,97.18,8,0.08942580223083496
Forgy,94.92,8,0.0892033576965332
Kmeans++,96.05,8,0.09796905517578125
Kmeans++,95.48,7,0.11103701591491699
Kmeans++,96.05,9,0.11640095710754395
Kmeans++,96.05,11,0.13613009452819824
Kmeans++,96.05,9,0.11458015441894531
Kmeans++,97.18,4,0.05823993682861328
Kmeans++,96.05,11,0.1374959945678711
Kmeans++,96.61,8,0.10622906684875488
Kmeans++,95.48,7,0.0951690673828125
Kmeans++,96.61,12,0.1627798080444336
Kmeans++,96.61,7,0.11391425132751465
Kmeans++,95.48,7,0.09678792953491211
Kmeans++,96.05,11,0.19069290161132812
Kmeans++,63.28,9,0.15757107734680176
Kmeans++,96.05,10,0.17413878440856934
Kmeans++,96.05,11,0.21647381782531738
Kmeans++,94.92,12,0.21112608909606934
Kmeans++,94.92,7,0.13768911361694336
Kmeans++,60.45,4,0.0827341079711914
Kmeans++,96.05,9,0.12940311431884766
Kmeans++,96.61,7,0.09718894958496094
Kmeans++,96.61,6,0.08223271369934082
Kmeans++,95.48,7,0.09251189231872559
Kmeans++,96.61,6,0.09022808074951172
Kmeans++,96.61,12,0.18120813369750977
Kmeans++,94.92,12,0.1800239086151123
Kmeans++,96.61,8,0.1131598949432373
Kmeans++,94.92,12,0.1620168685913086
Kmeans++,96.05,8,0.1434469223022461
Kmeans++,96.05,9,0.13510704040527344
Kmeans++,94.92,6,0.08699321746826172
Kmeans++,96.05,9,0.17227959632873535
Kmeans++,96.05,9,0.158250093460083
Kmeans++,97.18,9,0.17433595657348633
Kmeans++,94.92,12,0.16286778450012207
Kmeans++,96.05,10,0.1465928554534912
Kmeans++,96.61,10,0.14212727546691895
Kmeans++,96.05,10,0.12814116477966309
Kmeans++,96.05,10,0.13576722145080566
Kmeans++,96.05,9,0.13092875480651855
Kmeans++,96.05,8,0.11294817924499512
Kmeans++,94.92,6,0.0839378833770752
Kmeans++,97.18,8,0.10898184776306152
Kmeans++,96.05,8,0.12642312049865723
Kmeans++,96.61,7,0.09972310066223145
Kmeans++,94.92,7,0.09886789321899414
Kmeans++,95.48,8,0.1066129207611084
Kmeans++,96.61,11,0.1404869556427002
Kmeans++,96.05,11,0.14891600608825684
Kmeans++,96.05,7,0.09600615501403809
Kmeans++,96.61,7,0.1114499568939209
Kmeans++,96.05,11,0.14525103569030762
Kmeans++,97.18,6,0.08279204368591309
Kmeans++,97.18,6,0.0833430290222168
Kmeans++,96.05,8,0.10633301734924316
Kmeans++,96.61,11,0.1427628993988037
Kmeans++,96.61,8,0.10686802864074707
Kmeans++,96.05,8,0.10410594940185547
Kmeans++,96.05,7,0.09464120864868164
Kmeans++,94.92,8,0.12976312637329102
Kmeans++,96.05,7,0.12069320678710938
Kmeans++,59.89,8,0.10805892944335938
Kmeans++,94.92,6,0.11794924736022949
Kmeans++,96.05,7,0.1117696762084961
Kmeans++,96.05,9,0.11783194541931152
Kmeans++,60.45,4,0.06131887435913086
Kmeans++,96.05,9,0.12260198593139648
Kmeans++,96.05,12,0.1528010368347168
Kmeans++,96.61,11,0.14411306381225586
Kmeans++,96.05,9,0.1145179271697998
Kmeans++,96.05,10,0.12722396850585938
Kmeans++,94.92,9,0.1160280704498291
Kmeans++,95.48,7,0.09609603881835938
Kmeans++,96.05,10,0.1290900707244873
Kmeans++,59.89,8,0.10769462585449219
Kmeans++,95.48,8,0.10757088661193848
Kmeans++,96.05,10,0.12538480758666992
Kmeans++,96.05,10,0.13157868385314941
Kmeans++,96.05,11,0.1382591724395752
Kmeans++,94.92,7,0.09281301498413086
Kmeans++,59.89,8,0.1092379093170166
Kmeans++,96.05,10,0.12691521644592285
Kmeans++,95.48,7,0.09931182861328125
Kmeans++,59.89,8,0.1059410572052002
Kmeans++,94.92,7,0.0938119888305664
Kmeans++,96.61,11,0.20624065399169922
Kmeans++,95.48,7,0.11878824234008789
Kmeans++,96.05,9,0.14380216598510742
Kmeans++,94.92,12,0.2614779472351074
Kmeans++,95.48,7,0.11728906631469727
Kmeans++,95.48,4,0.07002115249633789
Kmeans++,97.18,4,0.06495118141174316
Kmeans++,59.89,8,0.11354684829711914
Kmeans++,95.48,7,0.09950494766235352
Kmeans++,94.92,8,0.10790705680847168
Kmeans++,96.05,8,0.11187505722045898
Kmeans++,96.61,6,0.08378911018371582
Kmeans++,96.05,9,0.1272437572479248
Kmeans++,96.05,8,0.1291823387145996
Kmeans++,96.05,10,0.16679692268371582
Naive Sharding,97.18,6,0.08163881301879883
Naive Sharding,97.18,6,0.08045578002929688
Naive Sharding,97.18,6,0.07989215850830078
Naive Sharding,97.18,6,0.0784599781036377
Naive Sharding,97.18,6,0.07934117317199707
Naive Sharding,97.18,6,0.08450818061828613
Naive Sharding,97.18,6,0.07879400253295898
Naive Sharding,97.18,6,0.08039307594299316
Naive Sharding,97.18,6,0.0789189338684082
Naive Sharding,97.18,6,0.0849757194519043
Naive Sharding,97.18,6,0.07948708534240723
Naive Sharding,97.18,6,0.07832503318786621
Naive Sharding,97.18,6,0.08022189140319824
Naive Sharding,97.18,6,0.07892704010009766
Naive Sharding,97.18,6,0.07931900024414062
Naive Sharding,97.18,6,0.08026003837585449
Naive Sharding,97.18,6,0.0828850269317627
Naive Sharding,97.18,6,0.07840609550476074
Naive Sharding,97.18,6,0.0814359188079834
Naive Sharding,97.18,6,0.0802161693572998
Naive Sharding,97.18,6,0.0801858901977539
Naive Sharding,97.18,6,0.08259463310241699
Naive Sharding,97.18,6,0.08185219764709473
Naive Sharding,97.18,6,0.08029413223266602
Naive Sharding,97.18,6,0.0811767578125
Naive Sharding,97.18,6,0.07969284057617188
Naive Sharding,97.18,6,0.0813450813293457
Naive Sharding,97.18,6,0.08495616912841797
Naive Sharding,97.18,6,0.08167290687561035
Naive Sharding,97.18,6,0.07860612869262695
Naive Sharding,97.18,6,0.07919907569885254
Naive Sharding,97.18,6,0.08080506324768066
Naive Sharding,97.18,6,0.08016514778137207
Naive Sharding,97.18,6,0.07888913154602051
Naive Sharding,97.18,6,0.08124303817749023
Naive Sharding,97.18,6,0.08043384552001953
Naive Sharding,97.18,6,0.07937979698181152
Naive Sharding,97.18,6,0.08538103103637695
Naive Sharding,97.18,6,0.08038091659545898
Naive Sharding,97.18,6,0.08056116104125977
Naive Sharding,97.18,6,0.08288288116455078
Naive Sharding,97.18,6,0.07955694198608398
Naive Sharding,97.18,6,0.08126616477966309
Naive Sharding,97.18,6,0.08229660987854004
Naive Sharding,97.18,6,0.07981204986572266
Naive Sharding,97.18,6,0.07997918128967285
Naive Sharding,97.18,6,0.08428025245666504
Naive Sharding,97.18,6,0.08462190628051758
Naive Sharding,97.18,6,0.08216094970703125
Naive Sharding,97.18,6,0.07826900482177734
Naive Sharding,97.18,6,0.08598685264587402
Naive Sharding,97.18,6,0.08099007606506348
Naive Sharding,97.18,6,0.13504600524902344
Naive Sharding,97.18,6,0.07992410659790039
Naive Sharding,97.18,6,0.08126211166381836
Naive Sharding,97.18,6,0.08143210411071777
Naive Sharding,97.18,6,0.08025217056274414
Naive Sharding,97.18,6,0.08154296875
Naive Sharding,97.18,6,0.08168601989746094
Naive Sharding,97.18,6,0.08119988441467285
Naive Sharding,97.18,6,0.08655905723571777
Naive Sharding,97.18,6,0.08038091659545898
Naive Sharding,97.18,6,0.08492183685302734
Naive Sharding,97.18,6,0.08330535888671875
Naive Sharding,97.18,6,0.08322572708129883
Naive Sharding,97.18,6,0.08135819435119629
Naive Sharding,97.18,6,0.09187579154968262
Naive Sharding,97.18,6,0.08282017707824707
Naive Sharding,97.18,6,0.08414292335510254
Naive Sharding,97.18,6,0.08170390129089355
Naive Sharding,97.18,6,0.08162188529968262
Naive Sharding,97.18,6,0.08481287956237793
Naive Sharding,97.18,6,0.08065366744995117
Naive Sharding,97.18,6,0.08162784576416016
Naive Sharding,97.18,6,0.08062601089477539
Naive Sharding,97.18,6,0.08167099952697754
Naive Sharding,97.18,6,0.08237528800964355
Naive Sharding,97.18,6,0.08234906196594238
Naive Sharding,97.18,6,0.0884847640991211
Naive Sharding,97.18,6,0.08140683174133301
Naive Sharding,97.18,6,0.08248710632324219
Naive Sharding,97.18,6,0.08048295974731445
Naive Sharding,97.18,6,0.08074593544006348
Naive Sharding,97.18,6,0.08317995071411133
Naive Sharding,97.18,6,0.08159112930297852
Naive Sharding,97.18,6,0.08176994323730469
Naive Sharding,97.18,6,0.0814211368560791
Naive Sharding,97.18,6,0.08063793182373047
Naive Sharding,97.18,6,0.08751201629638672
Naive Sharding,97.18,6,0.0827629566192627
Naive Sharding,97.18,6,0.08164405822753906
Naive Sharding,97.18,6,0.0839848518371582
Naive Sharding,97.18,6,0.08174014091491699
Naive Sharding,97.18,6,0.08112812042236328
Naive Sharding,97.18,6,0.08053803443908691
Naive Sharding,97.18,6,0.07982897758483887
Naive Sharding,97.18,6,0.08492112159729004
Naive Sharding,97.18,6,0.08247613906860352
Naive Sharding,97.18,6,0.08350181579589844
Naive Sharding,97.18,6,0.0808568000793457
Cutter Fairbank,95.48,5,0.06522107124328613
Cutter Fairbank,95.48,5,0.06709718704223633
Cutter Fairbank,95.48,5,0.06605696678161621
Cutter Fairbank,95.48,5,0.06724905967712402
Cutter Fairbank,95.48,5,0.06355500221252441
Cutter Fairbank,95.48,5,0.0689401626586914
Cutter Fairbank,95.48,5,0.06878328323364258
Cutter Fairbank,95.48,5,0.06711983680725098
Cutter Fairbank,95.48,5,0.06819796562194824
Cutter Fairbank,95.48,5,0.06664490699768066
Cutter Fairbank,95.48,5,0.07033586502075195
Cutter Fairbank,95.48,5,0.08633112907409668
Cutter Fairbank,95.48,5,0.07830286026000977
Cutter Fairbank,95.48,5,0.07780814170837402
Cutter Fairbank,95.48,5,0.07443833351135254
Cutter Fairbank,95.48,5,0.0713341236114502
Cutter Fairbank,95.48,5,0.0697939395904541
Cutter Fairbank,95.48,5,0.12690401077270508
Cutter Fairbank,95.48,5,0.12323307991027832
Cutter Fairbank,95.48,5,0.07497596740722656
Cutter Fairbank,95.48,5,0.07681894302368164
Cutter Fairbank,95.48,5,0.0766761302947998
Cutter Fairbank,95.48,5,0.0691380500793457
Cutter Fairbank,95.48,5,0.06389784812927246
Cutter Fairbank,95.48,5,0.062127113342285156
Cutter Fairbank,95.48,5,0.06783819198608398
Cutter Fairbank,95.48,5,0.0624089241027832
Cutter Fairbank,95.48,5,0.06260299682617188
Cutter Fairbank,95.48,5,0.06448721885681152
Cutter Fairbank,95.48,5,0.06308674812316895
Cutter Fairbank,95.48,5,0.06651520729064941
Cutter Fairbank,95.48,5,0.06310319900512695
Cutter Fairbank,95.48,5,0.06337785720825195
Cutter Fairbank,95.48,5,0.06578993797302246
Cutter Fairbank,95.48,5,0.06405305862426758
Cutter Fairbank,95.48,5,0.06265497207641602
Cutter Fairbank,95.48,5,0.06373000144958496
Cutter Fairbank,95.48,5,0.06454610824584961
Cutter Fairbank,95.48,5,0.06292080879211426
Cutter Fairbank,95.48,5,0.06215810775756836
Cutter Fairbank,95.48,5,0.06498003005981445
Cutter Fairbank,95.48,5,0.06404685974121094
Cutter Fairbank,95.48,5,0.06263399124145508
Cutter Fairbank,95.48,5,0.06245303153991699
Cutter Fairbank,95.48,5,0.06428003311157227
Cutter Fairbank,95.48,5,0.06454706192016602
Cutter Fairbank,95.48,5,0.06353902816772461
Cutter Fairbank,95.48,5,0.06206703186035156
Cutter Fairbank,95.48,5,0.06704401969909668
Cutter Fairbank,95.48,5,0.06297993659973145
Cutter Fairbank,95.48,5,0.0632777214050293
Cutter Fairbank,95.48,5,0.07160687446594238
Cutter Fairbank,95.48,5,0.07220196723937988
Cutter Fairbank,95.48,5,0.06899881362915039
Cutter Fairbank,95.48,5,0.06656980514526367
Cutter Fairbank,95.48,5,0.06925582885742188
Cutter Fairbank,95.48,5,0.06638193130493164
Cutter Fairbank,95.48,5,0.06540679931640625
Cutter Fairbank,95.48,5,0.0859839916229248
Cutter Fairbank,95.48,5,0.07133889198303223
Cutter Fairbank,95.48,5,0.07070112228393555
Cutter Fairbank,95.48,5,0.0681309700012207
Cutter Fairbank,95.48,5,0.07115888595581055
Cutter Fairbank,95.48,5,0.08705401420593262
Cutter Fairbank,95.48,5,0.09749388694763184
Cutter Fairbank,95.48,5,0.07230520248413086
Cutter Fairbank,95.48,5,0.07364201545715332
Cutter Fairbank,95.48,5,0.06778120994567871
Cutter Fairbank,95.48,5,0.07349395751953125
Cutter Fairbank,95.48,5,0.06971907615661621
Cutter Fairbank,95.48,5,0.07020711898803711
Cutter Fairbank,95.48,5,0.06665921211242676
Cutter Fairbank,95.48,5,0.06403303146362305
Cutter Fairbank,95.48,5,0.0785973072052002
Cutter Fairbank,95.48,5,0.08016324043273926
Cutter Fairbank,95.48,5,0.07212495803833008
Cutter Fairbank,95.48,5,0.06858539581298828
Cutter Fairbank,95.48,5,0.08055901527404785
Cutter Fairbank,95.48,5,0.07020902633666992
Cutter Fairbank,95.48,5,0.0708620548248291
Cutter Fairbank,95.48,5,0.07277226448059082
Cutter Fairbank,95.48,5,0.06484413146972656
Cutter Fairbank,95.48,5,0.06316995620727539
Cutter Fairbank,95.48,5,0.062348127365112305
Cutter Fairbank,95.48,5,0.06405305862426758
Cutter Fairbank,95.48,5,0.06309390068054199
Cutter Fairbank,95.48,5,0.07209610939025879
Cutter Fairbank,95.48,5,0.07932496070861816
Cutter Fairbank,95.48,5,0.07968306541442871
Cutter Fairbank,95.48,5,0.0759890079498291
Cutter Fairbank,95.48,5,0.08419108390808105
Cutter Fairbank,95.48,5,0.07878565788269043
Cutter Fairbank,95.48,5,0.07399797439575195
Cutter Fairbank,95.48,5,0.0718989372253418
Cutter Fairbank,95.48,5,0.07964205741882324
Cutter Fairbank,95.48,5,0.06675314903259277
Cutter Fairbank,95.48,5,0.06372308731079102
Cutter Fairbank,95.48,5,0.07324433326721191
Cutter Fairbank,95.48,5,0.0671389102935791
Cutter Fairbank,95.48,5,0.07471704483032227
